date,title,txt
2021.10.21 16:18,KB증권 3분기 영업이익 2천361억원…작년 동기 대비 1.5%↑(종합),"<div class=""art_txt"">
<div class=""img_center"" originh=""576"" originw=""1024"" style=""width: 820px;"">
<div class=""zoom_icon"" style=""display: none; z-index: 100; position: absolute;""><img alt=""원본사이즈 보기"" src=""//img.mk.co.kr/news/2013/bt_news_zoom.png"" style=""cursor: pointer;""/></div>
<img alt=""KB증권"" border=""0"" hspace=""0"" src=""https://file.mk.co.kr/meet/yonhap/2021/10/21/image_readtop_2021_999204_0_161911.jpg"" vspace=""0"" width=""820""/><br/>
<figure><figcaption><img alt=""사진설명"" src=""//img.mk.co.kr/main/2015/mk_new/ic_arrow_top.gif""/>KB증권</figcaption></figure>
<div class=""zoom_txt"" style=""width: 655px; cursor: pointer;"">▶ 여기를 누르시면 크게 보실 수 있습니다</div>
</div>   KB금융[105560]은 자회사 KB증권의 3분기 영업이익 2천361억원으로 작년 동기보다 1.54% 증가한 것으로 잠정 집계됐다고 21일 공시했다.<br/><br/>매출은 2조1천977억원으로 작년 동기 대비 49.87% 증가했다. 순이익은 1천702억원으로 18.33% 줄었다.<br/><br/>KB증권은 직접 투자를 선호하는 시장 환경을 기반으로 자산관리(WM) 부문에서 국내외 브로커리지(증권 위탁매매) 수익 증가세가 이어졌다고 설명했다.<br/><div style=""text-align:center; border:0; width:100%; margin:0 auto;""><div id=""google_dfp_MC_2x1,fluid"" style=""float:inherit; padding: 20px 40px 9px 40px;""><script type=""text/javascript"">googletag.display(""google_dfp_MC_2x1,fluid"");</script></div></div><br/>기업금융(IB) 부문에서는 대형 딜을 수주해 채권 자본시장(DCM) 부문 점유율을 23.5% 달성하며 업계 1위를 기록했고, 세일즈앤트레이딩(S&amp;T) 부문에서는 주가연계증권(ELS)이 안정적인 성과를 내고 있어 전 사업 부문이 고르게 성장했다고 회사 측은 설명했다.<br/><br/><span style=""font-size:13px; color:#999"">[연합뉴스]</span><br/><br/><span style=""font-size:13px; color:#999"">Copyrights ⓒ 연합뉴스. 무단 전재 및 재배포금지</span>
<!--이미지 키우는 스크립트-->
<script>window.jQuery || document.write(""<script src='//common.mk.co.kr/common/include/mklib/jquery.js'>"")</script>
<script src=""//www.mk.co.kr/news/js/zoom.js"" type=""text/javascript""></script>
</div>"
2021.10.21 16:00,"[아이넷 AI 로봇 기자] 증권사 리포트 총정리, 롯데케미칼 상승여력 57.0%","<div class=""art_txt""><b>21일 국내 16개의 증권사에서 26개의 종목에 대해 30건의 리포트를 발표했다.</b><br/><b>특히 증권사들은 롯데케미칼(011170)과 하나머티리얼즈(166090), LG이노텍(011070) 등을 상승여력이 큰 종목으로 발표했다.</b><br/><br/><b>▶ 롯데케미칼(011170)</b><br/><b>- `중국 전력난 및 공급 차질 수혜` 목표가 380,000원, 상승여력 57.0%</b><br/>NH투자증권은 롯데케미칼에 대해서 `중국 전력난 및 공급 차질 수혜`라고 분석 리포트를 발표하며 투자의견 BUY(유지), 목표가 380,000원을 제시했다.<br/>이날 롯데케미칼은 전 거래일 보다 1.9% 상승한 242,000원으로 마감했으며 제시된 목표가까지는 아직 57.0%의 상승 여력이 있는 것으로 나타났다.<br/><br/><b>▶ 하나머티리얼즈(166090)</b><br/><b>- `빛나는 호실적` 목표가 71,000원, 상승여력 54.7%</b><br/>하나머티리얼즈에 대해서는 SK증권과 삼성증권 외 2개 증권사가 `빛나는 호실적`, `연속되는 서프라이즈` 등의 분석 리포트를 발표했다.<br/>특히 SK증권은 당일 하나머티리얼즈에 대해서 리포트를 발표한 증권사 중 가장 높은 목표가인 71,000원을 제시했다. 이는 최근 6개월 동안 발표된 리포트와 비교했을 때, 가장 높은 수준의 목표가이다.<br/>오늘 하나머티리얼즈는 전 거래일 보다 1.4% 상승한 45,900원으로 마감했으며 제시된 목표가까지는 아직 54.7%의 상승 여력이 있는 것으로 나타났다.<br/><div style=""text-align:center; border:0; width:100%; margin:0 auto;""><div id=""google_dfp_MC_2x1,fluid"" style=""float:inherit; padding: 20px 40px 9px 40px;""><script type=""text/javascript"">googletag.display(""google_dfp_MC_2x1,fluid"");</script></div></div><br/><b>▶ LG이노텍(011070)</b><br/><b>- `우려보다 실적 상향, 저평가에서 시작` 목표가 300,000원, 상승여력 54.2%</b><br/>LG이노텍에 대해서는 대신증권이 `우려보다 실적 상향, 저평가에서 시작`이라고 리포트를 발표하며 목표가 300,000원을 제시했다.<br/>전일 대비 0.3% 오른 194,500원으로 마감한 LG이노텍은 목표가(300,000원)까지 54.2%의 상승 여력이 있는 것으로 보인다.<br/><br/><b>이 외에도 이날 상상인증권에서 신세계 I&amp;C(035510)을 신규 추천 종목으로 발표했다.</b><div style=""padding:15px 15px 15px 0; text-align:left; float:left; margin-right:5px; margin-bottom:15px;""><div id=""google_dfp_MC_250x250""><script type=""text/javascript"">googletag.display(""google_dfp_MC_250x250""); </script></div></div><br/><br/>[아이넷 AI 로봇 기자]<br/><br/>※ 이 기사는 매일경제신문과 금융 AI 전문기업 씽크풀이 공동 개발한 기사 자동생성 알고리즘에 의해 로봇 아이넷이 작성한 기사입니다.<br/><br/> [ⓒ 매일경제 &amp; mk.co.kr, 무단전재 및 재배포 금지]	
        
					<!--이미지 키우는 스크립트-->
<script>window.jQuery || document.write(""<script src='//common.mk.co.kr/common/include/mklib/jquery.js'>"")</script>
<script src=""//www.mk.co.kr/news/js/zoom.js"" type=""text/javascript""></script>
</div>"
2021.10.21 16:00,현대두산인프라코어 3분기 영업이익 337억원…작년 대비 47%↓,"<div class=""art_txt"">
<div class=""img_center"" originh=""234"" originw=""1024"" style=""width: 820px;"">
<div class=""zoom_icon"" style=""display: none; z-index: 100; position: absolute;""><img alt=""원본사이즈 보기"" src=""//img.mk.co.kr/news/2013/bt_news_zoom.png"" style=""cursor: pointer;""/></div>
<img alt=""현대두산인프라코어"" border=""0"" hspace=""0"" src=""https://file.mk.co.kr/meet/yonhap/2021/10/21/image_readtop_2021_999102_0_160212.jpg"" vspace=""0"" width=""820""/><br/>
<figure><figcaption><img alt=""사진설명"" src=""//img.mk.co.kr/main/2015/mk_new/ic_arrow_top.gif""/>현대두산인프라코어 </figcaption></figure>
<div class=""zoom_txt"" style=""width: 655px; cursor: pointer;"">▶ 여기를 누르시면 크게 보실 수 있습니다</div>
</div>    코스피 상장사 현대두산인프라코어[042670]는 연결 기준 올해 3분기 영업이익이 337억원으로 지난해 동기보다 47% 감소한 것으로 잠정 집계됐다고 21일 공시했다.<br/><br/>매출은 9천719억원으로 작년 동기 대비 5.9% 증가했다. 순이익은 459억원으로 44.1% 줄었다.<br/><br/>이번 영업이익은 연합인포맥스가 집계한 시장 전망치 349억원을 3.5% 하회했다.<br/><br/><span style=""font-size:13px; color:#999"">[연합뉴스]</span><br/><br/><span style=""font-size:13px; color:#999"">Copyrights ⓒ 연합뉴스. 무단 전재 및 재배포금지</span>
<!--이미지 키우는 스크립트-->
<script>window.jQuery || document.write(""<script src='//common.mk.co.kr/common/include/mklib/jquery.js'>"")</script>
<script src=""//www.mk.co.kr/news/js/zoom.js"" type=""text/javascript""></script>
</div>"
2021.10.21 15:55,"로킷헬스케어, 가천대와 바이오 3D 프린터 심화과정 공동 개최","<div class=""art_txt"">로킷헬스케어가 가천대와 바이오 3D 프린터 심화과정을 공동으로 개최한다.<br/><br/>바이오프린팅부터 조직재생 분야까지 사업영역을 넓히고 있는 바이오헬스케어 혁신기업 로킷헬스케어는 오는 27, 28일 양일 간 가천대학교 메이커스페이스센터(센터장 홍의택)에서 바이오 3D 프린터 심화과정 'Dr.INVIVO EDU(인비보 에듀)'를 개최한다고 21일 밝혔다. 해당 과정은 네이버 폼을 통해 온라인 접수가 가능하다.<br/><br/>두 기관은 지난 2월 업무 협약을 시작으로 인적, 기술적 장점의 교류 뿐만 아니라 4D 바이오 프린팅 기술에 관심이 있는 대학 연구원, 기업 재직자 등을 대상으로 한 정기적 교육 프로그램 개최를 계획하고 준비했다.<br/><div style=""text-align:center; border:0; width:100%; margin:0 auto;""><div id=""google_dfp_MC_2x1,fluid"" style=""float:inherit; padding: 20px 40px 9px 40px;""><script type=""text/javascript"">googletag.display(""google_dfp_MC_2x1,fluid"");</script></div></div><br/>로킷헬스케어 관계자는 ""지난해 세 차례에 걸쳐 진행됐던 교육 프로그램으로 수료생들의 높은 만족도를 확인했으나 선착순 마감으로 참여하지 못한 신청자들로부터 지속적인 교육 요청이 이어졌다""며 ""인재양성을 위한 교육 여건과 체계적인 프로그램을 기획하고 시행하고 있는 가천대 메이커스페이스센터와 시너지를 통해 쉽게 접하기 어려운 4D 바이오 프린팅을 직접 경험할 수 있는 기회를 제공하고자 정기적인 교육 프로그램을 준비하게 됐다""고 설명했다.<div style=""padding:15px 15px 15px 0; text-align:left; float:left; margin-right:5px; margin-bottom:15px;""><div id=""google_dfp_MC_250x250""><script type=""text/javascript"">googletag.display(""google_dfp_MC_250x250""); </script></div></div><br/><br/>이번에 진행될 교육프로그램은 참여자들이 전반적인 4D프린팅 플랫폼을 두루 경험할 수 있도록 구성됐다. 바이오, 메디컬 분야에서 이미 폭넓게 활용되고 있는 바이오 프린터의 원리와 소재로 사용되는 천연고분자, 합성고분자 등의 개념을 이해하고 직접 프린팅을 해보는 실습과정까지 포함됐다. <br/><br/>로킷헬스케어 유석환 대표는 ""최첨단 바이오기술인 바이오프린팅은 쉽게 접하기 어려운 기술이지만 국내 인적자원들이 이를 직접 체험해보고 그들이 속한 기업과 의료현장에서 이 기술이 폭넓게 사용되길 바란다""며 ""이러한 바이오 프린터를 활용하는 장기재생 의료 분야 발전이 우리나라를 시작으로 전세계로 확대되기를 기대한다""고 말했다.<br/><br/>[이상규 매경닷컴 기자]<br/>[ⓒ 매일경제 &amp; mk.co.kr, 무단전재 및 재배포 금지]
        
					<!--이미지 키우는 스크립트-->
<script>window.jQuery || document.write(""<script src='//common.mk.co.kr/common/include/mklib/jquery.js'>"")</script>
<script src=""//www.mk.co.kr/news/js/zoom.js"" type=""text/javascript""></script>
</div>"
2021.10.21 15:53,KB증권 3분기 영업이익 2천361억원…작년 동기 대비 1.5%↑,"<div class=""art_txt"">
<div class=""img_center"" originh=""576"" originw=""1024"" style=""width: 820px;"">
<div class=""zoom_icon"" style=""display: none; z-index: 100; position: absolute;""><img alt=""원본사이즈 보기"" src=""//img.mk.co.kr/news/2013/bt_news_zoom.png"" style=""cursor: pointer;""/></div>
<img alt=""KB증권"" border=""0"" hspace=""0"" src=""https://file.mk.co.kr/meet/yonhap/2021/10/21/image_readtop_2021_999064_0_155511.jpg"" vspace=""0"" width=""820""/><br/>
<figure><figcaption><img alt=""사진설명"" src=""//img.mk.co.kr/main/2015/mk_new/ic_arrow_top.gif""/>KB증권</figcaption></figure>
<div class=""zoom_txt"" style=""width: 655px; cursor: pointer;"">▶ 여기를 누르시면 크게 보실 수 있습니다</div>
</div>    코스피 상장사 KB금융[105560]은 자회사 KB증권이 연결 기준 올해 3분기 영업이익 2천361억원으로 지난해 동기보다 1.54% 증가한 것으로 잠정 집계됐다고 21일 공시했다.<br/><br/>매출은 2조1천977억원으로 작년 동기 대비 49.87% 증가했다. 순이익은 1천702억원으로 18.33% 줄었다.<br/><br/><span style=""font-size:13px; color:#999"">[연합뉴스]</span><br/><br/><span style=""font-size:13px; color:#999"">Copyrights ⓒ 연합뉴스. 무단 전재 및 재배포금지</span>
<!--이미지 키우는 스크립트-->
<script>window.jQuery || document.write(""<script src='//common.mk.co.kr/common/include/mklib/jquery.js'>"")</script>
<script src=""//www.mk.co.kr/news/js/zoom.js"" type=""text/javascript""></script>
</div>"
2021.10.21 15:52,KB금융 3분기 순이익 1.3조원 '역대 최대'…11%↑(종합),"<div class=""art_txt"">KB금융그룹은 지난 3분기(7∼9월) 1조2천979억원의 당기순이익(지배기업 지분 순이익 기준)을 거뒀다고 21일 공시했다. <br/><br/>이는 2008년 KB금융그룹이 출범한 이후 역대 최대 분기 순이익으로, 작년 3분기(1조1천666억원)보다 11.3%, 직전 2분기(1조2천43억원)보다 7.8% 큰 규모다.<br/><br/>
<div class=""img_center"" originh=""86"" originw=""528"" style=""width: 528px;"">
<img alt=""KB금융그룹"" border=""0"" hspace=""0"" src=""https://file.mk.co.kr/meet/yonhap/2021/10/21/image_readtop_2021_999057_0_155411.jpg"" vspace=""0"" width=""528""/><br/>
<figure><figcaption><img alt=""사진설명"" src=""//img.mk.co.kr/main/2015/mk_new/ic_arrow_top.gif""/>KB금융그룹</figcaption></figure>
</div>    올해 들어 3분기까지 누적 순이익은 3조7천722억원으로 작년 같은 기간보다 31.1%나 불었다. 누적 기준으로도 이익 규모가 최대 기록이다.<br/><br/>KB금융지주 관계자는 이익 증가 배경에 대해 ""순이자 이익과 순수수료 이익이 안정적으로 늘어난데다 신용손실충당금 전입액은 반대로 줄었다""며 ""대손충당금 환입 등 일회성 요인을 제외한 경상적 성격의 순이익은 약 1조2천500억원 수준""이라고 설명했다. <br/><br/>이익 종류별로는 3분기 순이자이익(2조8천543억원)은 작년 3분기보다 16.0% 늘었고, 순수수료이익(9천113억원)도 급증세는 꺾였지만 15.5% 증가했다. <br/><br/>
<div class=""img_center"" originh=""325"" originw=""1024"" style=""width: 820px;"">
<div class=""zoom_icon"" style=""display: none; z-index: 100; position: absolute;""><img alt=""원본사이즈 보기"" src=""//img.mk.co.kr/news/2013/bt_news_zoom.png"" style=""cursor: pointer;""/></div>
<img border=""0"" hspace=""0"" src=""https://file.mk.co.kr/meet/yonhap/2021/10/21/image_readmed_2021_999057_1_155411.jpg"" vspace=""0"" width=""820""/><br/>
<div class=""zoom_txt"" style=""width: 655px; cursor: pointer;"">▶ 여기를 누르시면 크게 보실 수 있습니다</div>
</div>    3분기 KB금융그룹과 KB국민은행의 순이자마진(NIM)은 2분기보다 0.01%포인트(p), 0.02%포인트 높은 1.83%, 1.58%로 집계됐다.<br/><br/>계열사 실적을 따로 보면, KB은행의 3분기 순이익(7천777억원)은 전년동기대비 22.4% 늘었다. 여신(대출) 성장과 함께 이자 이익이 늘고, 투자은행(IB) 부문의 수수료도 증가했기 때문이다. <br/><br/>작년보다 상대적으로 주식 투자 열기가 식은 탓에 KB증권의 3분기 당기순이익(1천689억원)은 작년 3분기보다 19.5% 줄었다.<div style=""padding:15px 15px 15px 0; text-align:left; float:left; margin-right:5px; margin-bottom:15px;""><div id=""google_dfp_MC_250x250""><script type=""text/javascript"">googletag.display(""google_dfp_MC_250x250""); </script></div></div><br/><br/>KB국민카드는 지난해 3분기보다 32.7% 늘어난 1천213억원, KB손해보험은 196.5% 많은 1천263억원의 순이익을 각각 거뒀다.<br/><br/><span style=""font-size:13px; color:#999"">[연합뉴스]</span><br/><br/><span style=""font-size:13px; color:#999"">Copyrights ⓒ 연합뉴스. 무단 전재 및 재배포금지</span>
<!--이미지 키우는 스크립트-->
<script>window.jQuery || document.write(""<script src='//common.mk.co.kr/common/include/mklib/jquery.js'>"")</script>
<script src=""//www.mk.co.kr/news/js/zoom.js"" type=""text/javascript""></script>
</div>"
2021.10.21 15:47,국민은행 3분기 영업이익 1조319억원…작년 동기 대비 13.2%↑,"<div class=""art_txt"">
<div class=""img_center"" originh=""217"" originw=""800"" style=""width: 800px;"">
<img alt=""KB국민은행"" border=""0"" hspace=""0"" src=""https://file.mk.co.kr/meet/yonhap/2021/10/21/image_readtop_2021_999024_0_154911.jpg"" vspace=""0"" width=""800""/><br/>
<figure><figcaption><img alt=""사진설명"" src=""//img.mk.co.kr/main/2015/mk_new/ic_arrow_top.gif""/>KB국민은행 </figcaption></figure>
</div>    코스피 상장사 KB금융[105560]은 자회사 국민은행이 연결 기준 올해 3분기 영업이익 1조319억원으로 지난해 동기보다 13.24% 증가한 것으로 잠정 집계됐다고 21일 공시했다.<br/><br/>매출은 8조3천192억원으로 작년 동기 대비 107.95% 증가했다. 순이익은 7천714억원으로 19.26% 늘었다.<br/><br/><span style=""font-size:13px; color:#999"">[연합뉴스]</span><br/><br/><span style=""font-size:13px; color:#999"">Copyrights ⓒ 연합뉴스. 무단 전재 및 재배포금지</span>
<!--이미지 키우는 스크립트-->
<script>window.jQuery || document.write(""<script src='//common.mk.co.kr/common/include/mklib/jquery.js'>"")</script>
<script src=""//www.mk.co.kr/news/js/zoom.js"" type=""text/javascript""></script>
</div>"
2021.10.21 15:46,KB금융 3분기 영업이익 1조7천872억원…작년 동기 대비 26.2%↑,"<div class=""art_txt"">
<div class=""img_center"" originh=""86"" originw=""528"" style=""width: 528px;"">
<img alt=""KB금융그룹"" border=""0"" hspace=""0"" src=""https://file.mk.co.kr/meet/yonhap/2021/10/21/image_readtop_2021_999020_0_155312.jpg"" vspace=""0"" width=""528""/><br/>
<figure><figcaption><img alt=""사진설명"" src=""//img.mk.co.kr/main/2015/mk_new/ic_arrow_top.gif""/>KB금융그룹</figcaption></figure>
</div>    코스피 상장사 KB금융[105560]은 연결 기준 올해 3분기 영업이익이 1조7천872억원으로 지난해 동기보다 26.17% 증가한 것으로 잠정 집계됐다고 21일 공시했다.<br/><br/>매출은 16조4천730억원으로 작년 동기 대비 56.39% 증가했다. 순이익은 1조3천54억원으로 9.31% 늘었다.<br/><br/>이번 영업이익은 연합인포맥스가 집계한 시장 전망치 1조6천689억원을 7.1% 상회했다.<br/><br/><span style=""font-size:13px; color:#999"">[연합뉴스]</span><br/><br/><span style=""font-size:13px; color:#999"">Copyrights ⓒ 연합뉴스. 무단 전재 및 재배포금지</span>
<!--이미지 키우는 스크립트-->
<script>window.jQuery || document.write(""<script src='//common.mk.co.kr/common/include/mklib/jquery.js'>"")</script>
<script src=""//www.mk.co.kr/news/js/zoom.js"" type=""text/javascript""></script>
</div>"
2021.10.21 15:46,"[특징주] 지아이텍, 코스닥 상장 첫날 '따상' 성공","<div class=""art_txt"">
<div class=""img_center"" originh=""231"" originw=""1024"" style=""width: 820px;"">
<div class=""zoom_icon"" style=""display: none; z-index: 100; position: absolute;""><img alt=""원본사이즈 보기"" src=""//img.mk.co.kr/news/2013/bt_news_zoom.png"" style=""cursor: pointer;""/></div>
<img alt=""지아이텍"" border=""0"" hspace=""0"" src=""https://file.mk.co.kr/meet/yonhap/2021/10/21/image_readtop_2021_999019_0_154711.jpg"" vspace=""0"" width=""820""/><br/>
<figure><figcaption><img alt=""사진설명"" src=""//img.mk.co.kr/main/2015/mk_new/ic_arrow_top.gif""/>지아이텍</figcaption></figure>
<div class=""zoom_txt"" style=""width: 655px; cursor: pointer;"">▶ 여기를 누르시면 크게 보실 수 있습니다</div>
</div>   2차전지 코팅장비 제조사 지아이텍이 코스닥 상장 첫날인 21일 상한가를 달성했다.<br/><br/>이날 코스닥시장에서 지아이텍은 시초가(2만8천원) 대비 가격제한폭(30.00%)까지 뛰어오른 3만6천400원에 거래를 마쳤다.<br/><br/>상장일 시초가가 공모가(1만4천원)의 2배로 형성된 뒤 상한가로 치솟는 이른바 '따상'에 성공했다. <br/><div style=""text-align:center; border:0; width:100%; margin:0 auto;""><div id=""google_dfp_MC_2x1,fluid"" style=""float:inherit; padding: 20px 40px 9px 40px;""><script type=""text/javascript"">googletag.display(""google_dfp_MC_2x1,fluid"");</script></div></div><br/>앞서 지아이텍은 기관 투자자 수요예측 결과, 공모가를 희망 범위 상단을 초과한 1만4천원으로 확정했다. 일반 청약 경쟁률은 2천968.36대 1로 집계됐다.<br/><br/>1990년 설립된 지아이텍은 2차전지 및 수소전지 제조 공정 제품 전문업체다.<div style=""padding:15px 15px 15px 0; text-align:left; float:left; margin-right:5px; margin-bottom:15px;""><div id=""google_dfp_MC_250x250""><script type=""text/javascript"">googletag.display(""google_dfp_MC_250x250""); </script></div></div><br/><br/>주력 제품은 2차전지·수소전지 제조의 코팅 공정에 사용되는 슬롯다이와 디스플레이 생산 공정 중 포토레지스트 도포에 사용되는 슬릿노즐이다.<br/><br/><span style=""font-size:13px; color:#999"">[연합뉴스]</span><br/><br/><span style=""font-size:13px; color:#999"">Copyrights ⓒ 연합뉴스. 무단 전재 및 재배포금지</span>
<!--이미지 키우는 스크립트-->
<script>window.jQuery || document.write(""<script src='//common.mk.co.kr/common/include/mklib/jquery.js'>"")</script>
<script src=""//www.mk.co.kr/news/js/zoom.js"" type=""text/javascript""></script>
</div>"
2021.10.21 15:41,[누리호] 발사 기대감에 한화에어로스페이스 등 우주항공주 상승(종합2보),"<div class=""art_txt"">
<div class=""img_center"" originh=""682"" originw=""1024"" style=""width: 820px;"">
<div class=""zoom_icon"" style=""display: none; z-index: 100; position: absolute;""><img alt=""원본사이즈 보기"" src=""//img.mk.co.kr/news/2013/bt_news_zoom.png"" style=""cursor: pointer;""/></div>
<img alt=""누리호 발사 본격 준비…발사대로 이송 시작"" border=""0"" hspace=""0"" src=""https://file.mk.co.kr/meet/yonhap/2021/10/21/image_readtop_2021_998992_0_154311.jpg"" vspace=""0"" width=""820""/><br/>
<figure><figcaption><img alt=""사진설명"" src=""//img.mk.co.kr/main/2015/mk_new/ic_arrow_top.gif""/>누리호 발사 본격 준비…발사대로 이송 시작</figcaption></figure>
<div class=""zoom_txt"" style=""width: 655px; cursor: pointer;"">▶ 여기를 누르시면 크게 보실 수 있습니다</div>
</div>   21일 누리호 발사를 앞두고 우주항공 관련주들이 상승세를 보였다.<br/><br/>21일 유가증권시장에서 한화에어로스페이스[012450]는 전 거래일 대비 2.49% 오른 4만9천300원에 거래를 마감했다. <br/><br/>한국항공우주[047810]는 1.22% 오른 3만3천150원에, LIG넥스원[079550]은 0.64% 오른 4만7천500원에, AP위성은 3.02% 오른 1만5천350원에 거래를 마쳤다. <br/><div style=""text-align:center; border:0; width:100%; margin:0 auto;""><div id=""google_dfp_MC_2x1,fluid"" style=""float:inherit; padding: 20px 40px 9px 40px;""><script type=""text/javascript"">googletag.display(""google_dfp_MC_2x1,fluid"");</script></div></div><br/>한화에어로스페이스는 누리호 엔진, 터보펌프, 시험설비 구축 등에 참여했다. 한화에어로스페이스가 납품한 '75t급 액체로켓 엔진'은 누리호의 핵심 부품으로, 발사체가 중력을 극복하고 우주궤도에 도달하는 동안 극한 조건을 모두 견뎌 낼 수 있도록 제작됐다.<br/><br/>한국항공우주는 2014년부터 누리호 사업에 참여하며 누리호 체계 총조립을 맡았다. 300여개 기업이 납품한 제품 조립을 총괄하는 역할이다. LIG넥스원은 위성항법시스템 장비 업체이고, AP위성은 위성통신 단말기 제조 업체다.<br/><br/>KB증권 정동익 연구원은 ""이번 발사가 성공한다면 한국은 세계에서 7번째로 무게 1t 이상의 실용위성을 자체 발사할 수 있는 역량을 확보하게 된다""며 ""항공우주 부문에 대한 투자자들의 관심이 증가하고 있는데 (누리호 발사) 성공시 관련 주가에도 추가적인 모멘텀으로 작용할 것""이라고 말했다.<br/><br/>한국형 발사체 누리호'(KSLV-II) 계획은 12년간 2조원의 예산이 투입됐고 국내 우주과학기술의 역량이 총동원된 초대형 프로젝트다.<div style=""padding:15px 15px 15px 0; text-align:left; float:left; margin-right:5px; margin-bottom:15px;""><div id=""google_dfp_MC_250x250""><script type=""text/javascript"">googletag.display(""google_dfp_MC_250x250""); </script></div></div><br/><br/>누리호 발사관리위원회는 누리호 상태, 기상, 우주 환경 등을 고려해 이날 오후 5시 발사를 추진하기로 확정했다. 이는 잠정 발사 예정 시각이던 오후 4시보다는 1시간 늦춰진 것이다.<br/><br/><span style=""font-size:13px; color:#999"">[연합뉴스]</span><br/><br/><span style=""font-size:13px; color:#999"">Copyrights ⓒ 연합뉴스. 무단 전재 및 재배포금지</span>
<!--이미지 키우는 스크립트-->
<script>window.jQuery || document.write(""<script src='//common.mk.co.kr/common/include/mklib/jquery.js'>"")</script>
<script src=""//www.mk.co.kr/news/js/zoom.js"" type=""text/javascript""></script>
</div>"
