cus_id,sex_dit_cd,cus_age,zip_ctp_cd,tco_cus_grd_cd,ivs_icn_cd
1eec7e43dd6ea34d6be7a9484459e4db1a2da44c5bf311aed5389a2c6ce92b60,2,20,29,04,-
7e50c268acce884b1a5b78c9b5645b517c4639413c6dc4d7de50799cedab4480,2,00,41,09,-
36d3cd293c4b02a00103fa1ba33ffbee176173a55df75b1e7ee7d7d24ee55523,1,70,27,03,-
96b6dea03dc71d9ddb1462e06fdba23def1ddc838debf7cba4484f9f7d9b6631,1,70,41,09,-
034eb5406bd021a9a88f046e33765efd5b3cd190b395386e93f4ca1340c2d15a,1,70,11,05,-
68512a62994578c8d382fd953f1638bae1d19c269ebed3148930e283eaf76636,1,70,28,04,-
9a1931d5454b82d8ae9063e7b536468df40eba2923b2ed61d6c807e23be88b8a,1,70,11,01,04
36d3d9105d5a3489e89a3a947c3d623fa80354784dcafa7ebbc7f129d6e78d81,1,70,11,02,04
ff4e513cb490199ce46e7c2f6e10047124b06a86239f3dc0de2af0ab2c7139c3,1,70,26,02,-
a09bd99d65b6d9aab7c25ad16617cd03c9beb1a5a79c67b332edf49ef1c25f83,1,70,43,04,04
6041a9370d3937bd70f7eca9325fef3abff1de56d8c2506ec32f9ec583ae8f09,1,70,44,04,03
431595d0f4efef3eaba0bea43f9959eb643e80f0a1ad4571d69839b5ed920fb8,1,70,26,03,-
df602c1ae311e3d24a37bf261d5f24c5dd1472d444288374ffdcd4fc3f8f3688,1,70,41,03,03
2eacbe5cf8f147a7b86e26a2221abd2a4644da8fc8c2fe8b866f1d4155a7abf8,2,70,11,01,04
c53b68e51debfe6cb408a320fc9445a33f9117d07a4ea67422bd7e3a6327e179,2,70,11,01,04
92fa3425fe816791632120fc90890709f85a9fa2dfff710276b40de7140edc7e,2,70,11,_ ,02
b77a3f4cb61237e4cd7fb00a1353e45657d1a1d9cd09409c1b752754e83ec5d0,2,70,11,03,-
f2a68346a0b6133690bcc6b9849eca420e4ce2d5d550d542eea1c89e1a332a5a,1,70,41,05,-
c3377afa5fb49c0b1f5a1dd49e6114b094e3fc72b209d812771f3595d3b5282b,1,70,11,03,03
f1a626e56a89a1e8340ce89e81d82bdf003e96236ce7c1dd240c5bacf1cd1ea7,1,70,41,05,-
76f9ed13230c8e53ca165ad08ee4cf2059fc617ff2102c95948bb4781f9ecc80,1,70,41,09,-
de2f3dce6c88154d5559be110a1fec75679d1720f53dbb2d6ec7778770505caa,1,70,11,04,-
ba7e0d017b3074ca5542e4b6effc1b0cbe3e564238811f9741aede456f397f61,1,70,26,03,-
